accuracy_rank,config_id,depth,parameters,mean_train_loss,mean_val_loss,mean_train_accuracy_pct,mean_val_accuracy_pct,std_val_accuracy_pp,best_val_accuracy_seed0_pct,best_epoch_seed0,best_val_accuracy_seed1_pct,best_epoch_seed1,best_val_accuracy_seed2_pct,best_epoch_seed2,mean_best_val_accuracy_pct,gflops_per_run,return_pp_per_gflop,pareto_status,h3a_status,h3a_l2_minus_l1_mean_pp,h3a_l2_positive_seeds,h3a_l2_negative_seeds,h3a_l3_minus_l1_mean_pp,h3a_l3_positive_seeds,h3a_l3_negative_seeds,h3b_status,h3c_status,h3d_status,h3d_relu_minus_l2_mean_pp,h3d_positive_seeds,h3d_negative_seeds,relu_bridge_same_platform
3,L1-DIRECT,1,218,0.3198244894185213,0.3317733613935332,85.25215299371696,84.54135954135954,0.0177318878743732,84.62837837837837,91,84.52088452088452,100,84.58230958230958,92,84.57719082719083,2.6107501,3.4546571574378238,v3_pareto,not_contradicted,0.1330876330876407,3,0,0.1382063882063941,3,0,sustained,sustained,inconclusive,0.3736691236691219,3,0,False
2,L2-IDENTITY,2,7106,0.313990938984957,0.32772081224941374,85.44921750035192,84.67444717444717,0.015356265356264442,84.93550368550369,43,84.92014742014742,53,84.85872235872236,45,84.90479115479116,84.0291601,0.10891854853056114,v3_pareto,not_contradicted,0.1330876330876407,3,0,0.1382063882063941,3,0,sustained,sustained,inconclusive,0.3736691236691219,3,0,False
1,L3-IDENTITY,3,11266,0.31393768326214455,0.32730170558428456,85.45433605896581,84.67956592956591,0.0177318878743732,85.242628992629,30,84.93550368550369,57,85.07371007371007,24,85.08394758394759,154.4654481,0.05928479812213026,v3_pareto,not_contradicted,0.1330876330876407,3,0,0.1382063882063941,3,0,sustained,sustained,inconclusive,0.3736691236691219,3,0,False
