accuracy_rank,config_id,activation,mean_train_loss,mean_val_loss,mean_train_accuracy_pct,mean_val_accuracy_pct,std_val_accuracy_pp,gflops_per_run,return_pp_per_gflop,pareto_status
1,F-SWISH,Swish,0.2948206151,0.3148716534,86.4818867007,85.1351351351,0.0265978318,85.0711121000,0.1129998407,pareto
2,F-RELU,ReLU,0.2799549633,0.3190450114,87.2675854479,85.0481162981,0.1538183784,84.2375505000,0.1130849985,pareto
3,F-SOFTPLUS,Softplus,0.3080140989,0.3224896978,85.7115436293,84.8843161343,0.1022470534,84.6543313000,0.1105933148,dominated
4,F-SIGMOID,Sigmoid,0.3127430020,0.3255304326,85.4850474106,84.7461097461,0.0772915073,84.8627217000,0.1086931522,dominated
