accuracy_rank,config_id,beta,h2_group,group_winner,mean_train_loss,mean_val_loss,mean_train_accuracy_pct,mean_val_accuracy_pct,std_val_accuracy_pp,best_val_accuracy_seed0_pct,best_epoch_seed0,best_val_accuracy_seed1_pct,best_epoch_seed1,best_val_accuracy_seed2_pct,best_epoch_seed2,mean_best_val_accuracy_pct,std_best_val_accuracy_pp,gflops_per_run,return_pp_per_gflop,h2_status,h2_central_winners,h2_extreme_winners
1,S-BETA-5,5.0000000000,extreme,yes,0.2894812188,0.3156722681,86.7544499469,85.1965601966,0.1199362665,85.3347665848,78,85.3961916462,96,85.3194103194,92,85.3501228501,0.0406288592,85.0711121000,0.1137218844,inconclusive,S-BETA-2,S-BETA-5
2,S-BETA-2,2.0000000000,central,yes,0.2995135188,0.3168558040,86.1926881390,85.0378787879,0.1545830146,84.9201474201,71,85.0583538084,97,85.2579852580,87,85.0788288288,0.1698470518,85.0711121000,0.1118566048,inconclusive,S-BETA-2,S-BETA-5
3,S-BETA-1,1.0000000000,central,no,0.3080140989,0.3224896978,85.7115436293,84.8843161343,0.1022470534,84.8740786241,91,84.8587223587,68,85.0429975430,76,84.9252661753,0.1022470534,85.0711121000,0.1100514955,inconclusive,S-BETA-2,S-BETA-5
4,S-BETA-0.5,0.5000000000,extreme,no,0.3128649162,0.3266035082,85.5195976813,84.7461097461,0.0177318879,84.8433660934,60,84.7972972973,87,84.8894348894,75,84.8433660934,0.0460687961,85.0711121000,0.1084268972,inconclusive,S-BETA-2,S-BETA-5
